in update mr0: q=0.50, mr0=0.88, mult0=0.06, mr1=0.0000, mult1=0.0000, spec_accs_cnt=1000, reg_accs_cnt=0
in update mr1: q=0.24, mr0=0.89, mult0=0.09, mr1=0.0457, mult1=0.0112, spec_accs_cnt=2000, reg_accs_cnt=4000
in update mr1: q=0.21, mr0=0.89, mult0=0.09, mr1=0.0420, mult1=0.0088, spec_accs_cnt=2000, reg_accs_cnt=5000
in update mr1: q=0.23, mr0=0.89, mult0=0.09, mr1=0.0470, mult1=0.0106, spec_accs_cnt=2000, reg_accs_cnt=6000
in update mr1: q=0.25, mr0=0.89, mult0=0.09, mr1=0.0445, mult1=0.0111, spec_accs_cnt=2000, reg_accs_cnt=7000
in update mr1: q=0.23, mr0=0.89, mult0=0.09, mr1=0.0454, mult1=0.0104, spec_accs_cnt=2000, reg_accs_cnt=8000
in update mr1: q=0.20, mr0=0.89, mult0=0.09, mr1=0.0455, mult1=0.0092, spec_accs_cnt=2000, reg_accs_cnt=9000
in update mr1: q=0.19, mr0=0.89, mult0=0.09, mr1=0.0392, mult1=0.0073, spec_accs_cnt=2866, reg_accs_cnt=10000
in update mr0: q=0.19, mr0=0.87, mult0=0.11, mr1=0.0392, mult1=0.0076, spec_accs_cnt=3000, reg_accs_cnt=10081
in update mr0: q=0.19, mr0=0.86, mult0=0.12, mr1=0.0392, mult1=0.0076, spec_accs_cnt=4000, reg_accs_cnt=10570
in update mr1: q=0.19, mr0=0.86, mult0=0.12, mr1=0.0451, mult1=0.0086, spec_accs_cnt=4915, reg_accs_cnt=11000
in update mr0: q=0.20, mr0=0.86, mult0=0.12, mr1=0.0451, mult1=0.0088, spec_accs_cnt=5000, reg_accs_cnt=11079
in update mr0: q=0.21, mr0=0.84, mult0=0.12, mr1=0.0451, mult1=0.0094, spec_accs_cnt=6000, reg_accs_cnt=11692
in update mr1: q=0.20, mr0=0.84, mult0=0.12, mr1=0.0626, mult1=0.0128, spec_accs_cnt=6652, reg_accs_cnt=12000
in update mr0: q=0.20, mr0=0.85, mult0=0.12, mr1=0.0626, mult1=0.0126, spec_accs_cnt=7000, reg_accs_cnt=12172
in update mr0: q=0.23, mr0=0.85, mult0=0.11, mr1=0.0626, mult1=0.0141, spec_accs_cnt=8000, reg_accs_cnt=12990
in update mr1: q=0.23, mr0=0.85, mult0=0.11, mr1=0.0657, mult1=0.0148, spec_accs_cnt=8060, reg_accs_cnt=13000
in update mr0: q=0.21, mr0=0.86, mult0=0.11, mr1=0.0657, mult1=0.0135, spec_accs_cnt=9000, reg_accs_cnt=13353
in update mr0: q=0.21, mr0=0.87, mult0=0.10, mr1=0.0657, mult1=0.0141, spec_accs_cnt=10000, reg_accs_cnt=13973
in update mr1: q=0.21, mr0=0.87, mult0=0.10, mr1=0.0888, mult1=0.0191, spec_accs_cnt=10047, reg_accs_cnt=14000
in update mr0: q=0.23, mr0=0.87, mult0=0.10, mr1=0.0888, mult1=0.0204, spec_accs_cnt=11000, reg_accs_cnt=14756
in update mr1: q=0.23, mr0=0.87, mult0=0.10, mr1=0.0938, mult1=0.0213, spec_accs_cnt=11491, reg_accs_cnt=15000
calling from mr1
advertising
in update mr0: q=0.21, mr0=0.87, mult0=0.10, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=584
in update mr1: q=0.20, mr0=0.87, mult0=0.10, mr1=0.0310, mult1=0.0062, spec_accs_cnt=1976, reg_accs_cnt=1000
in update mr0: q=0.20, mr0=0.89, mult0=0.09, mr1=0.0310, mult1=0.0062, spec_accs_cnt=2000, reg_accs_cnt=1003
in update mr1: q=0.22, mr0=0.89, mult0=0.09, mr1=0.0663, mult1=0.0143, spec_accs_cnt=2074, reg_accs_cnt=2000
in update mr0: q=0.22, mr0=0.89, mult0=0.09, mr1=0.0663, mult1=0.0144, spec_accs_cnt=3000, reg_accs_cnt=2579
in update mr1: q=0.21, mr0=0.89, mult0=0.09, mr1=0.0739, mult1=0.0157, spec_accs_cnt=3846, reg_accs_cnt=3000
in update mr0: q=0.21, mr0=0.89, mult0=0.09, mr1=0.0739, mult1=0.0157, spec_accs_cnt=4000, reg_accs_cnt=3088
in update mr0: q=0.20, mr0=0.90, mult0=0.08, mr1=0.0739, mult1=0.0148, spec_accs_cnt=5000, reg_accs_cnt=3510
in update mr1: q=0.19, mr0=0.90, mult0=0.08, mr1=0.0982, mult1=0.0182, spec_accs_cnt=5000, reg_accs_cnt=4000
in update mr1: q=0.19, mr0=0.90, mult0=0.08, mr1=0.1152, mult1=0.0217, spec_accs_cnt=5000, reg_accs_cnt=5000
calling from mr1
advertising
in update mr0: q=0.19, mr0=0.88, mult0=0.10, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=437
in update mr0: q=0.21, mr0=0.90, mult0=0.08, mr1=0.0010, mult1=0.0002, spec_accs_cnt=2000, reg_accs_cnt=991
in update mr1: q=0.21, mr0=0.90, mult0=0.08, mr1=0.0793, mult1=0.0163, spec_accs_cnt=2000, reg_accs_cnt=1000
in update mr1: q=0.22, mr0=0.90, mult0=0.08, mr1=0.0757, mult1=0.0164, spec_accs_cnt=2000, reg_accs_cnt=2000
in update mr1: q=0.24, mr0=0.90, mult0=0.08, mr1=0.0778, mult1=0.0188, spec_accs_cnt=2000, reg_accs_cnt=3000
in update mr1: q=0.23, mr0=0.90, mult0=0.08, mr1=0.0956, mult1=0.0222, spec_accs_cnt=2000, reg_accs_cnt=4000
calling from mr1
advertising
in update mr0: q=0.22, mr0=0.88, mult0=0.09, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=428
in update mr1: q=0.23, mr0=0.88, mult0=0.09, mr1=0.0540, mult1=0.0123, spec_accs_cnt=1302, reg_accs_cnt=1000
in update mr1: q=0.23, mr0=0.88, mult0=0.09, mr1=0.0710, mult1=0.0163, spec_accs_cnt=1649, reg_accs_cnt=2000
in update mr0: q=0.23, mr0=0.88, mult0=0.09, mr1=0.0710, mult1=0.0163, spec_accs_cnt=2000, reg_accs_cnt=2179
in update mr0: q=0.21, mr0=0.88, mult0=0.10, mr1=0.0710, mult1=0.0147, spec_accs_cnt=3000, reg_accs_cnt=2549
in update mr0: q=0.21, mr0=0.90, mult0=0.08, mr1=0.0710, mult1=0.0146, spec_accs_cnt=4000, reg_accs_cnt=2990
in update mr1: q=0.21, mr0=0.90, mult0=0.08, mr1=0.0673, mult1=0.0138, spec_accs_cnt=4000, reg_accs_cnt=3000
in update mr1: q=0.21, mr0=0.90, mult0=0.08, mr1=0.0604, mult1=0.0129, spec_accs_cnt=4000, reg_accs_cnt=4000
in update mr1: q=0.23, mr0=0.90, mult0=0.08, mr1=0.0698, mult1=0.0160, spec_accs_cnt=4000, reg_accs_cnt=5000
in update mr1: q=0.23, mr0=0.90, mult0=0.08, mr1=0.0756, mult1=0.0172, spec_accs_cnt=4302, reg_accs_cnt=6000
in update mr0: q=0.22, mr0=0.90, mult0=0.08, mr1=0.0756, mult1=0.0167, spec_accs_cnt=5000, reg_accs_cnt=6942
in update mr1: q=0.22, mr0=0.90, mult0=0.08, mr1=0.0932, mult1=0.0206, spec_accs_cnt=5000, reg_accs_cnt=7000
calling from mr1
advertising
in update mr0: q=0.23, mr0=0.88, mult0=0.09, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=580
in update mr1: q=0.22, mr0=0.88, mult0=0.10, mr1=0.0330, mult1=0.0074, spec_accs_cnt=1656, reg_accs_cnt=1000
in update mr0: q=0.24, mr0=0.89, mult0=0.09, mr1=0.0330, mult1=0.0078, spec_accs_cnt=2000, reg_accs_cnt=1468
in update mr1: q=0.23, mr0=0.89, mult0=0.09, mr1=0.0560, mult1=0.0128, spec_accs_cnt=2297, reg_accs_cnt=2000
in update mr0: q=0.21, mr0=0.90, mult0=0.08, mr1=0.0560, mult1=0.0116, spec_accs_cnt=3000, reg_accs_cnt=2986
in update mr1: q=0.21, mr0=0.90, mult0=0.08, mr1=0.0848, mult1=0.0176, spec_accs_cnt=3000, reg_accs_cnt=3000
in update mr1: q=0.20, mr0=0.90, mult0=0.08, mr1=0.0978, mult1=0.0199, spec_accs_cnt=3000, reg_accs_cnt=4000
in update mr1: q=0.18, mr0=0.90, mult0=0.08, mr1=0.0964, mult1=0.0177, spec_accs_cnt=3000, reg_accs_cnt=5000
in update mr1: q=0.23, mr0=0.90, mult0=0.07, mr1=0.1110, mult1=0.0257, spec_accs_cnt=3000, reg_accs_cnt=6000
calling from mr1
advertising
in update mr0: q=0.21, mr0=0.88, mult0=0.10, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=448
in update mr1: q=0.23, mr0=0.88, mult0=0.09, mr1=0.0238, mult1=0.0053, spec_accs_cnt=1008, reg_accs_cnt=1000
in update mr1: q=0.24, mr0=0.88, mult0=0.09, mr1=0.0278, mult1=0.0068, spec_accs_cnt=1008, reg_accs_cnt=2000
in update mr1: q=0.23, mr0=0.88, mult0=0.09, mr1=0.0509, mult1=0.0118, spec_accs_cnt=1880, reg_accs_cnt=3000
in update mr0: q=0.23, mr0=0.88, mult0=0.09, mr1=0.0509, mult1=0.0118, spec_accs_cnt=2000, reg_accs_cnt=3078
in update mr1: q=0.22, mr0=0.88, mult0=0.09, mr1=0.0589, mult1=0.0130, spec_accs_cnt=2464, reg_accs_cnt=4000
in update mr0: q=0.25, mr0=0.89, mult0=0.08, mr1=0.0589, mult1=0.0150, spec_accs_cnt=3000, reg_accs_cnt=4716
in update mr1: q=0.25, mr0=0.89, mult0=0.08, mr1=0.0609, mult1=0.0150, spec_accs_cnt=3576, reg_accs_cnt=5000
in update mr0: q=0.23, mr0=0.88, mult0=0.09, mr1=0.0609, mult1=0.0139, spec_accs_cnt=4000, reg_accs_cnt=5083
in update mr0: q=0.23, mr0=0.88, mult0=0.09, mr1=0.0609, mult1=0.0138, spec_accs_cnt=5000, reg_accs_cnt=5851
in update mr1: q=0.24, mr0=0.88, mult0=0.09, mr1=0.0617, mult1=0.0146, spec_accs_cnt=5066, reg_accs_cnt=6000
in update mr0: q=0.25, mr0=0.88, mult0=0.09, mr1=0.0617, mult1=0.0156, spec_accs_cnt=6000, reg_accs_cnt=6998
in update mr1: q=0.25, mr0=0.88, mult0=0.09, mr1=0.0603, mult1=0.0152, spec_accs_cnt=6000, reg_accs_cnt=7000
in update mr1: q=0.23, mr0=0.88, mult0=0.09, mr1=0.0845, mult1=0.0191, spec_accs_cnt=6286, reg_accs_cnt=8000
in update mr1: q=0.25, mr0=0.88, mult0=0.09, mr1=0.0803, mult1=0.0200, spec_accs_cnt=6460, reg_accs_cnt=9000
calling from mr1
advertising
in update mr0: q=0.25, mr0=0.88, mult0=0.09, mr1=0.0010, mult1=0.0003, spec_accs_cnt=1000, reg_accs_cnt=693
in update mr1: q=0.24, mr0=0.88, mult0=0.09, mr1=0.0158, mult1=0.0038, spec_accs_cnt=1344, reg_accs_cnt=1000
in update mr0: q=0.26, mr0=0.89, mult0=0.08, mr1=0.0158, mult1=0.0040, spec_accs_cnt=2000, reg_accs_cnt=1718
in update mr1: q=0.26, mr0=0.89, mult0=0.08, mr1=0.0261, mult1=0.0068, spec_accs_cnt=2000, reg_accs_cnt=2000
in update mr1: q=0.25, mr0=0.89, mult0=0.08, mr1=0.0348, mult1=0.0086, spec_accs_cnt=2000, reg_accs_cnt=3000
in update mr1: q=0.23, mr0=0.89, mult0=0.08, mr1=0.0553, mult1=0.0129, spec_accs_cnt=2000, reg_accs_cnt=4000
in update mr1: q=0.24, mr0=0.89, mult0=0.08, mr1=0.0570, mult1=0.0139, spec_accs_cnt=2000, reg_accs_cnt=5000
in update mr1: q=0.23, mr0=0.89, mult0=0.08, mr1=0.0815, mult1=0.0184, spec_accs_cnt=2000, reg_accs_cnt=6000
in update mr1: q=0.24, mr0=0.89, mult0=0.08, mr1=0.1366, mult1=0.0331, spec_accs_cnt=2000, reg_accs_cnt=7000
calling from mr1
advertising
in update mr0: q=0.23, mr0=0.88, mult0=0.09, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=528
in update mr0: q=0.21, mr0=0.90, mult0=0.08, mr1=0.0010, mult1=0.0002, spec_accs_cnt=2000, reg_accs_cnt=863
in update mr1: q=0.21, mr0=0.90, mult0=0.08, mr1=0.0418, mult1=0.0087, spec_accs_cnt=2000, reg_accs_cnt=1000
in update mr1: q=0.19, mr0=0.90, mult0=0.08, mr1=0.0656, mult1=0.0123, spec_accs_cnt=2000, reg_accs_cnt=2000
in update mr1: q=0.20, mr0=0.90, mult0=0.08, mr1=0.0867, mult1=0.0171, spec_accs_cnt=2000, reg_accs_cnt=3000
in update mr1: q=0.23, mr0=0.90, mult0=0.07, mr1=0.1000, mult1=0.0234, spec_accs_cnt=2000, reg_accs_cnt=4000
calling from mr1
advertising
in update mr0: q=0.24, mr0=0.88, mult0=0.09, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=535
in update mr1: q=0.24, mr0=0.88, mult0=0.09, mr1=0.0138, mult1=0.0034, spec_accs_cnt=1000, reg_accs_cnt=1000
in update mr1: q=0.24, mr0=0.88, mult0=0.09, mr1=0.0411, mult1=0.0098, spec_accs_cnt=1304, reg_accs_cnt=2000
in update mr0: q=0.25, mr0=0.90, mult0=0.08, mr1=0.0411, mult1=0.0103, spec_accs_cnt=2000, reg_accs_cnt=2490
in update mr1: q=0.24, mr0=0.90, mult0=0.08, mr1=0.0458, mult1=0.0112, spec_accs_cnt=2151, reg_accs_cnt=3000
in update mr1: q=0.24, mr0=0.90, mult0=0.08, mr1=0.0891, mult1=0.0212, spec_accs_cnt=2598, reg_accs_cnt=4000
calling from mr1
advertising
in update mr0: q=0.25, mr0=0.88, mult0=0.09, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=745
in update mr1: q=0.23, mr0=0.88, mult0=0.10, mr1=0.0418, mult1=0.0096, spec_accs_cnt=1746, reg_accs_cnt=1000
in update mr0: q=0.23, mr0=0.89, mult0=0.09, mr1=0.0418, mult1=0.0095, spec_accs_cnt=2000, reg_accs_cnt=1138
in update mr0: q=0.22, mr0=0.90, mult0=0.08, mr1=0.0418, mult1=0.0093, spec_accs_cnt=3000, reg_accs_cnt=1711
in update mr1: q=0.23, mr0=0.90, mult0=0.08, mr1=0.0541, mult1=0.0123, spec_accs_cnt=3000, reg_accs_cnt=2000
in update mr1: q=0.23, mr0=0.90, mult0=0.08, mr1=0.0763, mult1=0.0179, spec_accs_cnt=3000, reg_accs_cnt=3000
in update mr1: q=0.24, mr0=0.90, mult0=0.08, mr1=0.0760, mult1=0.0182, spec_accs_cnt=3000, reg_accs_cnt=4000
in update mr1: q=0.22, mr0=0.90, mult0=0.08, mr1=0.0802, mult1=0.0175, spec_accs_cnt=3356, reg_accs_cnt=5000
in update mr0: q=0.24, mr0=0.90, mult0=0.08, mr1=0.0802, mult1=0.0193, spec_accs_cnt=4000, reg_accs_cnt=5605
in update mr1: q=0.23, mr0=0.90, mult0=0.08, mr1=0.0984, mult1=0.0224, spec_accs_cnt=4323, reg_accs_cnt=6000
calling from mr1
advertising
in update mr0: q=0.19, mr0=0.88, mult0=0.09, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=180
in update mr0: q=0.21, mr0=0.87, mult0=0.10, mr1=0.0010, mult1=0.0002, spec_accs_cnt=2000, reg_accs_cnt=733
in update mr1: q=0.20, mr0=0.87, mult0=0.10, mr1=0.0385, mult1=0.0078, spec_accs_cnt=2395, reg_accs_cnt=1000
in update mr0: q=0.23, mr0=0.88, mult0=0.09, mr1=0.0385, mult1=0.0090, spec_accs_cnt=3000, reg_accs_cnt=1586
in update mr1: q=0.23, mr0=0.88, mult0=0.09, mr1=0.0766, mult1=0.0180, spec_accs_cnt=3067, reg_accs_cnt=2000
in update mr1: q=0.25, mr0=0.88, mult0=0.09, mr1=0.0792, mult1=0.0197, spec_accs_cnt=3067, reg_accs_cnt=3000
in update mr0: q=0.23, mr0=0.90, mult0=0.08, mr1=0.0792, mult1=0.0180, spec_accs_cnt=4000, reg_accs_cnt=3585
in update mr1: q=0.22, mr0=0.90, mult0=0.08, mr1=0.0937, mult1=0.0209, spec_accs_cnt=4000, reg_accs_cnt=4000
calling from mr1
advertising
in update mr0: q=0.26, mr0=0.87, mult0=0.09, mr1=0.0010, mult1=0.0003, spec_accs_cnt=1000, reg_accs_cnt=847
in update mr1: q=0.25, mr0=0.87, mult0=0.09, mr1=0.0240, mult1=0.0059, spec_accs_cnt=1265, reg_accs_cnt=1000
in update mr0: q=0.24, mr0=0.88, mult0=0.09, mr1=0.0240, mult1=0.0058, spec_accs_cnt=2000, reg_accs_cnt=1507
in update mr1: q=0.25, mr0=0.88, mult0=0.09, mr1=0.0428, mult1=0.0107, spec_accs_cnt=2644, reg_accs_cnt=2000
in update mr0: q=0.26, mr0=0.89, mult0=0.08, mr1=0.0428, mult1=0.0110, spec_accs_cnt=3000, reg_accs_cnt=2315
in update mr0: q=0.26, mr0=0.90, mult0=0.07, mr1=0.0428, mult1=0.0111, spec_accs_cnt=4000, reg_accs_cnt=2751
in update mr1: q=0.22, mr0=0.90, mult0=0.07, mr1=0.0601, mult1=0.0134, spec_accs_cnt=4000, reg_accs_cnt=3000
in update mr1: q=0.26, mr0=0.90, mult0=0.07, mr1=0.0673, mult1=0.0172, spec_accs_cnt=4000, reg_accs_cnt=4000
in update mr1: q=0.26, mr0=0.90, mult0=0.07, mr1=0.0687, mult1=0.0177, spec_accs_cnt=4000, reg_accs_cnt=5000
in update mr1: q=0.26, mr0=0.90, mult0=0.07, mr1=0.0795, mult1=0.0210, spec_accs_cnt=4000, reg_accs_cnt=6000
calling from mr1
advertising
in update mr0: q=0.26, mr0=0.88, mult0=0.09, mr1=0.0010, mult1=0.0003, spec_accs_cnt=1000, reg_accs_cnt=570
in update mr1: q=0.23, mr0=0.88, mult0=0.09, mr1=0.0275, mult1=0.0063, spec_accs_cnt=1993, reg_accs_cnt=1000
in update mr0: q=0.23, mr0=0.89, mult0=0.08, mr1=0.0275, mult1=0.0063, spec_accs_cnt=2000, reg_accs_cnt=1003
in update mr1: q=0.20, mr0=0.89, mult0=0.09, mr1=0.0446, mult1=0.0089, spec_accs_cnt=2438, reg_accs_cnt=2000
in update mr1: q=0.18, mr0=0.89, mult0=0.09, mr1=0.0575, mult1=0.0104, spec_accs_cnt=2438, reg_accs_cnt=3000
in update mr1: q=0.21, mr0=0.89, mult0=0.09, mr1=0.0939, mult1=0.0199, spec_accs_cnt=2438, reg_accs_cnt=4000
in update mr1: q=0.17, mr0=0.89, mult0=0.09, mr1=0.1329, mult1=0.0227, spec_accs_cnt=2438, reg_accs_cnt=5000
calling from mr1
advertising
in update mr0: q=0.18, mr0=0.88, mult0=0.10, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=417
in update mr0: q=0.17, mr0=0.89, mult0=0.09, mr1=0.0010, mult1=0.0002, spec_accs_cnt=2000, reg_accs_cnt=593
in update mr0: q=0.18, mr0=0.91, mult0=0.08, mr1=0.0010, mult1=0.0002, spec_accs_cnt=3000, reg_accs_cnt=994
in update mr1: q=0.18, mr0=0.91, mult0=0.08, mr1=0.0333, mult1=0.0060, spec_accs_cnt=3000, reg_accs_cnt=1000
